s01|What if the world's most powerful open AI model was suddenly free to download?
s02|Mark the date: in ten days, Moonshot AI says the complete Kimi K3 weights go public — every parameter, free for anyone with the hardware to run it.
s03|This is Kimi K3 — Moonshot's massive new open-weight model, released this week and built to go toe-to-toe with America's best labs.
s04|Part one: the machine itself. What exactly did Moonshot build here?
s05|Start with scale. Kimi K3 packs two-point-eight trillion total parameters, making it the largest open-weight model ever released — by any lab, in any country.
s06|But raw size is only half the story. Inside sit eight hundred ninety-six experts, and just sixteen of them activate for any single token — a giant staff, a tiny task force per job.
s07|That's the mixture-of-experts trick. Each token takes one pass: a router reads it, picks the sixteen most relevant experts, and blends their outputs into one answer.
s08|The context window stretches to one million tokens — roughly an entire codebase in a single pass — and K3 is multimodal, reasoning across text and images in the same conversation.
s09|Two in-house inventions hold this together. The first is Kimi Delta Attention — a hybrid linear design that keeps million-token contexts fast and memory-light.
s10|The second is Attention Residuals, a drop-in replacement for residual connections that Moonshot says delivers steadier gains as the model scales up.
s11|Part two: the scores. A big model means nothing until it performs.
s12|On GDPval-AA v2 — real-world tasks across forty-four occupations and nine industries — K3 scored sixteen eighty-seven: third overall, behind only Fable 5 Max and GPT-5.6 Sol Max.
s13|Then the blind tests landed. On LMArena, developers preferred K3's front-end code over every leading US model — including the two ranked above it.
s14|Against Claude Opus 4.8 — frontier-grade just weeks ago — K3 wins on the benchmark and on openness. That's a first for an open-weight release.
s15|Open weights are now trading blows with the closed frontier — and winning rounds.
s16|Map the landscape and the shift is obvious: the top right — frontier scores with open weights — used to be empty. Kimi K3 just moved in alone.
s17|Part three: the fallout — money, timing, and a nervous Washington.
s18|The rollout was choreographed: benchmarks announced July sixteenth, full weights landing July twenty-seventh — timed to hit right before the World AI Conference in Shanghai.
s19|When that notification lands, anyone — researcher, startup, rival lab — can download and inspect the entire model.
s20|Access isn't bargain-priced anymore: three dollars per million input tokens, fifteen for output — Claude Sonnet territory. Moonshot has stopped racing to the bottom.
s21|And the targets are explicit: OpenAI's Sol line, Anthropic's Fable and Opus — the closed American frontier K3 was built to chase.
s22|So one release, two reactions. Builders get a free, inspectable, frontier-grade model. Washington gets proof that America's AI lead is thinner than everyone assumed.
s23|The recap: two-point-eight trillion parameters, sixteen experts at a time. Benchmarks beside the American frontier. And the whole thing goes public July twenty-seventh.
s24|Kimi K3 just changed who owns the frontier. Follow YOUR CHANNEL for what happens next.
